,date,time,ticket_number,article,Quantity,unit_price,retour
114877,2021*06*17,12:50,181169.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114880,2021*06*17,12:54,181170.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
114883,2021*06*17,12:58,181171.0,CEREAL BAGUETTE,1.0,"1,25 €",False
114886,2021*06*17,12:59,181172.0,TRIANGLES,1.0,"2,50 €",False
114887,2021*06*17,12:59,181172.0,SAND JB EMMENTAL,1.0,"3,50 €",False
114890,2021*06*17,13:02,181173.0,COOKIE,1.0,"1,00 €",False
114893,2021*06*17,13:02,181174.0,FORMULE SANDWICH,1.0,"6,50 €",False
114896,2021*06*17,13:03,181175.0,FORMULE SANDWICH,2.0,"6,50 €",False
114899,2021*06*17,13:12,181176.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114902,2021*06*17,13:12,181177.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114905,2021*06*17,13:32,181178.0,SANDWICH COMPLET,3.0,"4,50 €",False
114908,2021*06*17,13:33,181179.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
114915,2021*06*17,16:15,181182.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114918,2021*06*17,16:17,181183.0,CROISSANT AMANDES,1.0,"1,40 €",False
114919,2021*06*17,16:17,181183.0,FONDANT CHOCOLAT,1.0,"2,50 €",False
114922,2021*06*17,16:28,181184.0,SPECIAL BREAD,1.0,"2,40 €",False
114925,2021*06*17,16:29,181185.0,SUCETTE,2.0,"0,30 €",False
114926,2021*06*17,16:29,181185.0,KOUIGN AMANN,1.0,"2,10 €",False
114929,2021*06*17,16:33,181186.0,DEMI BAGUETTE,1.0,"0,45 €",False
114932,2021*06*17,16:50,181187.0,CEREAL BAGUETTE,1.0,"1,25 €",False
114933,2021*06*17,16:50,181187.0,BANETTINE,1.0,"0,60 €",False
114934,2021*06*17,16:50,181187.0,CROISSANT,3.0,"1,10 €",False
114935,2021*06*17,16:50,181187.0,NANTAIS,1.0,"2,50 €",False
114938,2021*06*17,16:57,181188.0,CROISSANT AMANDES,2.0,"1,40 €",False
114941,2021*06*17,17:00,181189.0,CEREAL BAGUETTE,1.0,"1,25 €",False
114944,2021*06*17,17:14,181190.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114947,2021*06*17,17:16,181191.0,COUPE,1.0,"0,15 €",False
114948,2021*06*17,17:16,181191.0,BOULE 400G,1.0,"1,50 €",False
114951,2021*06*17,17:17,181192.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
114954,2021*06*17,17:18,181193.0,CEREAL BAGUETTE,2.0,"1,25 €",False
114955,2021*06*17,17:18,181193.0,QUIM BREAD,2.0,"1,00 €",False
114956,2021*06*17,17:18,181193.0,KOUIGN AMANN,1.0,"2,10 €",False
114957,2021*06*17,17:18,181193.0,NANTAIS,1.0,"2,50 €",False
114960,2021*06*17,17:20,181194.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114963,2021*06*17,17:36,181195.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114966,2021*06*17,17:38,181196.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
114969,2021*06*17,17:40,181197.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
114972,2021*06*17,17:47,181198.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
114975,2021*06*17,17:54,181199.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114978,2021*06*17,17:55,181200.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114981,2021*06*17,18:00,181201.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
114982,2021*06*17,18:00,181201.0,NANTAIS,1.0,"2,50 €",False
114985,2021*06*17,18:02,181202.0,MILLES FEUILLES,1.0,"2,00 €",False
114986,2021*06*17,18:02,181202.0,CEREAL BAGUETTE,2.0,"1,25 €",False
114987,2021*06*17,18:02,181202.0,ECLAIR,2.0,"2,00 €",False
114990,2021*06*17,18:15,181203.0,CEREAL BAGUETTE,1.0,"1,25 €",False
114993,2021*06*17,18:16,181204.0,BAGUETTE,1.0,"0,90 €",False
114996,2021*06*17,18:17,181205.0,CAMPAGNE,1.0,"1,80 €",False
114999,2021*06*17,18:21,181206.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115000,2021*06*17,18:21,181206.0,ECLAIR,1.0,"2,00 €",False
115003,2021*06*17,18:27,181207.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115006,2021*06*17,18:34,181208.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115009,2021*06*17,18:45,181209.0,PAIN,2.0,"1,15 €",False
115012,2021*06*17,19:00,181210.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
115013,2021*06*17,19:00,181210.0,PAIN AUX RAISINS,2.0,"1,40 €",False
115014,2021*06*17,19:00,181210.0,CROISSANT AMANDES,1.0,"1,40 €",False
115015,2021*06*17,19:00,181210.0,CROISSANT,2.0,"1,10 €",False
115018,2021*06*18,07:44,181211.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
115019,2021*06*18,07:44,181211.0,BAGUETTE,1.0,"0,90 €",False
115022,2021*06*18,07:56,181212.0,FORMULE SANDWICH,1.0,"6,50 €",False
115025,2021*06*18,08:00,181213.0,FICELLE,1.0,"0,60 €",False
115026,2021*06*18,08:00,181213.0,CROISSANT,2.0,"1,10 €",False
115031,2021*06*18,08:01,181215.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115034,2021*06*18,08:08,181216.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
115035,2021*06*18,08:08,181216.0,CROISSANT,2.0,"1,10 €",False
115038,2021*06*18,08:14,181217.0,CROISSANT,4.0,"1,10 €",False
115041,2021*06*18,08:16,181218.0,BANETTE,1.0,"1,05 €",False
115044,2021*06*18,08:18,181219.0,CROISSANT,1.0,"1,10 €",False
115045,2021*06*18,08:18,181219.0,BAGUETTE,1.0,"0,90 €",False
115046,2021*06*18,08:18,181219.0,BANETTE,1.0,"1,05 €",False
115049,2021*06*18,08:19,181220.0,FORMULE SANDWICH,1.0,"6,50 €",False
115050,2021*06*18,08:19,181220.0,CROISSANT AMANDES,2.0,"1,40 €",False
115053,2021*06*18,08:20,181221.0,BAGUETTE,1.0,"0,90 €",False
115054,2021*06*18,08:20,181221.0,COUPE,1.0,"0,15 €",False
115055,2021*06*18,08:20,181221.0,BOULE 400G,1.0,"1,50 €",False
115058,2021*06*18,08:21,181222.0,BAGUETTE,2.0,"0,90 €",False
115059,2021*06*18,08:21,181222.0,CROISSANT,5.0,"1,10 €",False
115062,2021*06*18,08:28,181223.0,SAND JB EMMENTAL,1.0,"3,50 €",False
115065,2021*06*18,08:28,181224.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115066,2021*06*18,08:28,181224.0,BAGUETTE,1.0,"0,90 €",False
115069,2021*06*18,08:29,181225.0,CROISSANT,1.0,"1,10 €",False
115070,2021*06*18,08:29,181225.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
115073,2021*06*18,08:41,181226.0,BOISSON 33CL,1.0,"1,50 €",False
115074,2021*06*18,08:41,181226.0,PAIN AU CHOCOLAT,4.0,"1,20 €",False
115077,2021*06*18,08:42,181227.0,BAGUETTE,1.0,"0,90 €",False
115080,2021*06*18,08:47,181228.0,CROISSANT AMANDES,1.0,"1,40 €",False
115081,2021*06*18,08:47,181228.0,PAIN AU CHOCOLAT,3.0,"1,20 €",False
115084,2021*06*18,08:48,181229.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115085,2021*06*18,08:48,181229.0,COUPE,1.0,"0,15 €",False
115086,2021*06*18,08:48,181229.0,BOULE 400G,1.0,"1,50 €",False
115089,2021*06*18,08:50,181230.0,BANETTE,2.0,"1,05 €",False
115092,2021*06*18,08:51,181231.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
115095,2021*06*18,08:52,181232.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
115098,2021*06*18,08:53,181233.0,PAIN AUX RAISINS,2.0,"1,40 €",False
115099,2021*06*18,08:53,181233.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115102,2021*06*18,08:54,181234.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115105,2021*06*18,08:54,181235.0,BAGUETTE,1.0,"0,90 €",False
115108,2021*06*18,08:57,181236.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115111,2021*06*18,08:58,181237.0,DIVERS BOULANGERIE,1.0,"2,00 €",False
115114,2021*06*18,09:01,181238.0,BANETTE,1.0,"1,05 €",False
115115,2021*06*18,09:01,181238.0,VIK BREAD,2.0,"2,50 €",False
115118,2021*06*18,09:05,181239.0,COOKIE,2.0,"1,00 €",False
115121,2021*06*18,09:08,181240.0,PAIN,1.0,"1,15 €",False
115124,2021*06*18,09:13,181241.0,BANETTE,1.0,"1,05 €",False
115127,2021*06*18,09:14,181242.0,BANETTINE,1.0,"0,60 €",False
115130,2021*06*18,09:20,181243.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115133,2021*06*18,09:25,181244.0,BANETTE,1.0,"1,05 €",False
115136,2021*06*18,09:25,181245.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115139,2021*06*18,09:34,181246.0,FICELLE,1.0,"0,60 €",False
115140,2021*06*18,09:34,181246.0,COUPE,1.0,"0,15 €",False
115141,2021*06*18,09:34,181246.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115142,2021*06*18,09:34,181246.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115145,2021*06*18,09:36,181247.0,FICELLE,1.0,"0,60 €",False
115148,2021*06*18,09:37,181248.0,PAIN BANETTE,1.0,"1,40 €",False
115151,2021*06*18,09:39,181249.0,BANETTINE,1.0,"0,60 €",False
115152,2021*06*18,09:39,181249.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115155,2021*06*18,09:39,181250.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115158,2021*06*18,09:45,181251.0,BOULE 200G,3.0,"1,10 €",False
115159,2021*06*18,09:45,181251.0,COUPE,3.0,"0,15 €",False
115162,2021*06*18,09:45,181252.0,PAIN BANETTE,1.0,"1,40 €",False
115165,2021*06*18,09:46,181253.0,BANETTE,1.0,"1,05 €",False
115166,2021*06*18,09:46,181253.0,SPECIAL BREAD,1.0,"2,40 €",False
115169,2021*06*18,09:46,181254.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115172,2021*06*18,09:49,181255.0,FICELLE,1.0,"0,60 €",False
115173,2021*06*18,09:49,181255.0,BANETTINE,1.0,"0,60 €",False
115176,2021*06*18,09:52,181256.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115179,2021*06*18,09:58,181257.0,FORMULE SANDWICH,1.0,"6,50 €",False
115182,2021*06*18,09:59,181258.0,CEREAL BAGUETTE,2.0,"1,25 €",False
115185,2021*06*18,10:02,181259.0,COUPE,1.0,"0,15 €",False
115186,2021*06*18,10:02,181259.0,GRAND FAR BRETON,1.0,"7,00 €",False
115187,2021*06*18,10:02,181259.0,SEIGLE,1.0,"1,80 €",False
115190,2021*06*18,10:12,181260.0,COUPE,1.0,"0,15 €",False
115191,2021*06*18,10:12,181260.0,CAMPAGNE,1.0,"1,80 €",False
115194,2021*06*18,10:13,181261.0,BANETTE,1.0,"1,05 €",False
115197,2021*06*18,10:16,181262.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115200,2021*06*18,10:21,181263.0,CROISSANT,2.0,"1,10 €",False
115201,2021*06*18,10:21,181263.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
115204,2021*06*18,10:23,181264.0,COUPE,2.0,"0,15 €",False
115205,2021*06*18,10:23,181264.0,SPECIAL BREAD,2.0,"2,40 €",False
115208,2021*06*18,10:24,181265.0,BANETTE,1.0,"1,05 €",False
115211,2021*06*18,10:26,181266.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115212,2021*06*18,10:26,181266.0,BAGUETTE,2.0,"0,90 €",False
115215,2021*06*18,10:26,181267.0,COMPLET,1.0,"1,50 €",False
115218,2021*06*18,10:29,181268.0,BAGUETTE,1.0,"0,90 €",False
115219,2021*06*18,10:29,181268.0,DEMI BAGUETTE,1.0,"0,45 €",False
115222,2021*06*18,10:30,181269.0,FORMULE SANDWICH,1.0,"6,50 €",False
115225,2021*06*18,10:32,181270.0,BOULE 400G,1.0,"1,50 €",False
115228,2021*06*18,10:33,181271.0,PAIN,1.0,"1,15 €",False
115231,2021*06*18,10:34,181272.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115234,2021*06*18,10:38,181273.0,TRADITIONAL BAGUETTE,6.0,"1,20 €",False
115237,2021*06*18,10:38,181274.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115240,2021*06*18,10:39,181275.0,CROISSANT,2.0,"1,10 €",False
115241,2021*06*18,10:39,181275.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115244,2021*06*18,10:46,181276.0,CROISSANT,2.0,"1,10 €",False
115245,2021*06*18,10:46,181276.0,BANETTE,1.0,"1,05 €",False
115248,2021*06*18,10:47,181277.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
115251,2021*06*18,10:54,181278.0,CEREAL BAGUETTE,1.0,"1,25 €",False
115254,2021*06*18,10:55,181279.0,QUIM BREAD,1.0,"1,00 €",False
115257,2021*06*18,10:57,181280.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115260,2021*06*18,10:59,181281.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
115261,2021*06*18,10:59,181281.0,PAIN AUX RAISINS,1.0,"1,40 €",False
115264,2021*06*18,11:00,181282.0,BANETTE,1.0,"1,05 €",False
115267,2021*06*18,11:03,181283.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
115270,2021*06*18,11:04,181284.0,BAGUETTE,1.0,"0,90 €",False
115273,2021*06*18,11:04,181285.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115276,2021*06*18,11:05,181286.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115279,2021*06*18,11:06,181287.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115282,2021*06*18,11:07,181288.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115285,2021*06*18,11:07,181289.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115288,2021*06*18,11:12,181290.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115291,2021*06*18,11:18,181291.0,BANETTE,1.0,"1,05 €",False
115294,2021*06*18,11:18,181292.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115297,2021*06*18,11:19,181293.0,COUPE,4.0,"0,15 €",False
115298,2021*06*18,11:19,181293.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115299,2021*06*18,11:19,181293.0,KOUIGN AMANN,2.0,"2,10 €",False
115300,2021*06*18,11:19,181293.0,VIK BREAD,4.0,"2,50 €",False
115303,2021*06*18,11:21,181294.0,COUPE,1.0,"0,15 €",False
115304,2021*06*18,11:21,181294.0,COMPLET,1.0,"1,50 €",False
115305,2021*06*18,11:21,181294.0,BANETTE,2.0,"1,05 €",False
115308,2021*06*18,11:22,181295.0,BANETTE,1.0,"1,05 €",False
115311,2021*06*18,11:23,181296.0,PAIN,2.0,"1,15 €",False
115314,2021*06*18,11:24,181297.0,PAIN S/SEL,1.0,"1,50 €",False
115317,2021*06*18,11:25,181298.0,BOULE 200G,1.0,"1,10 €",False
115318,2021*06*18,11:25,181298.0,FICELLE,1.0,"0,60 €",False
115319,2021*06*18,11:25,181298.0,COUPE,1.0,"0,15 €",False
115322,2021*06*18,11:26,181299.0,BANETTE,1.0,"1,05 €",False
115325,2021*06*18,11:26,181300.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115328,2021*06*18,11:28,181301.0,FICELLE,2.0,"0,60 €",False
115329,2021*06*18,11:28,181301.0,BANETTE,2.0,"1,05 €",False
115332,2021*06*18,11:28,181302.0,CEREAL BAGUETTE,1.0,"1,25 €",False
115335,2021*06*18,11:29,181303.0,BAGUETTE,2.0,"0,90 €",False
115338,2021*06*18,11:30,181304.0,BANETTE,4.0,"1,05 €",False
115341,2021*06*18,11:35,181305.0,BANETTE,2.0,"1,05 €",False
115342,2021*06*18,11:35,181305.0,TARTELETTE FRAISE,1.0,"3,00 €",False
115343,2021*06*18,11:35,181305.0,MILLES FEUILLES,1.0,"2,00 €",False
115346,2021*06*18,11:36,181306.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115349,2021*06*18,11:48,181307.0,SPECIAL BREAD KG,1.0,"4,80 €",False
115350,2021*06*18,11:48,181307.0,COUPE,1.0,"0,15 €",False
115353,2021*06*18,11:49,181308.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115356,2021*06*18,11:49,181309.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115359,2021*06*18,11:50,181310.0,BAGUETTE,1.0,"0,90 €",False
115362,2021*06*18,11:52,181311.0,CROISSANT AMANDES,2.0,"1,40 €",False
115363,2021*06*18,11:52,181311.0,MILLES FEUILLES,1.0,"2,00 €",False
115364,2021*06*18,11:52,181311.0,TARTELETTE,2.0,"2,00 €",False
115367,2021*06*18,11:53,181312.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115370,2021*06*18,11:53,181313.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115373,2021*06*18,11:57,181314.0,FONDANT CHOCOLAT,1.0,"2,50 €",False
115374,2021*06*18,11:57,181314.0,CAMPAGNE,1.0,"1,80 €",False
115375,2021*06*18,11:57,181314.0,COUPE,1.0,"0,15 €",False
115376,2021*06*18,11:57,181314.0,SPECIAL BREAD,1.0,"2,40 €",False
115377,2021*06*18,11:57,181314.0,COUPE,1.0,"0,15 €",False
115378,2021*06*18,11:57,181314.0,SANDWICH COMPLET,1.0,"4,50 €",False
115381,2021*06*18,11:57,181315.0,BANETTE,1.0,"1,05 €",False
115384,2021*06*18,11:57,181316.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115387,2021*06*18,11:58,181317.0,BANETTE,1.0,"1,05 €",False
115390,2021*06*18,11:58,181318.0,FLAN,2.0,"2,00 €",False
115391,2021*06*18,11:58,181318.0,COMPLET,1.0,"1,50 €",False
115392,2021*06*18,11:58,181318.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115395,2021*06*18,12:00,181319.0,FORMULE SANDWICH,1.0,"6,50 €",False
115398,2021*06*18,12:03,181320.0,VIK BREAD,1.0,"2,50 €",False
115399,2021*06*18,12:03,181320.0,COUPE,1.0,"0,15 €",False
115402,2021*06*18,12:05,181321.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115403,2021*06*18,12:05,181321.0,FLAN ABRICOT,1.0,"2,10 €",False
115404,2021*06*18,12:05,181321.0,COUPE,1.0,"0,15 €",False
115405,2021*06*18,12:05,181321.0,BOULE 200G,1.0,"1,10 €",False
115408,2021*06*18,12:06,181322.0,COUPE,1.0,"0,15 €",False
115409,2021*06*18,12:06,181322.0,SEIGLE,1.0,"1,80 €",False
115412,2021*06*18,12:07,181323.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115415,2021*06*18,12:07,181324.0,BANETTE,1.0,"1,05 €",False
115418,2021*06*18,12:09,181325.0,BAGUETTE,1.0,"0,90 €",False
115421,2021*06*18,12:09,181326.0,BANETTINE,1.0,"0,60 €",False
115424,2021*06*18,12:10,181327.0,BAGUETTE,1.0,"0,90 €",False
115427,2021*06*18,12:14,181328.0,FORMULE SANDWICH,-1.0,"6,50 €",False
115428,2021*06*18,12:14,181328.0,FORMULE SANDWICH,2.0,"6,50 €",False
115431,2021*06*18,12:14,181329.0,FORMULE SANDWICH,-2.0,"6,50 €",False
115432,2021*06*18,12:14,181329.0,FORMULE SANDWICH,1.0,"6,50 €",False
115435,2021*06*18,12:14,181330.0,FORMULE SANDWICH,1.0,"6,50 €",False
115438,2021*06*18,12:14,181331.0,CEREAL BAGUETTE,1.0,"1,25 €",False
115439,2021*06*18,12:14,181331.0,COMPLET,1.0,"1,50 €",False
115442,2021*06*18,12:15,181332.0,NANTAIS,1.0,"2,50 €",False
115443,2021*06*18,12:15,181332.0,QUIM BREAD,1.0,"1,00 €",False
115444,2021*06*18,12:15,181332.0,BANETTE,1.0,"1,05 €",False
115447,2021*06*18,12:16,181333.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115450,2021*06*18,12:19,181334.0,BAGUETTE,1.0,"0,90 €",False
115451,2021*06*18,12:19,181334.0,PAIN AUX RAISINS,2.0,"1,40 €",False
115452,2021*06*18,12:19,181334.0,SPECIAL BREAD,1.0,"2,40 €",False
115453,2021*06*18,12:19,181334.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115454,2021*06*18,12:19,181334.0,PAIN BANETTE,1.0,"1,40 €",False
115455,2021*06*18,12:19,181334.0,CHAUSSON AUX POMMES,2.0,"1,40 €",False
115456,2021*06*18,12:19,181334.0,COUPE,1.0,"0,15 €",False
115457,2021*06*18,12:19,181334.0,TARTELETTE,4.0,"2,00 €",False
115460,2021*06*18,12:20,181335.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115461,2021*06*18,12:20,181335.0,KOUIGN AMANN,1.0,"2,10 €",False
115464,2021*06*18,12:21,181336.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115465,2021*06*18,12:21,181336.0,FLAN ABRICOT,1.0,"2,10 €",False
115466,2021*06*18,12:21,181336.0,FLAN,1.0,"2,00 €",False
115469,2021*06*18,12:21,181337.0,SANDWICH COMPLET,2.0,"4,50 €",False
115472,2021*06*18,12:22,181338.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115475,2021*06*18,12:23,181339.0,BAGUETTE,1.0,"0,90 €",False
115478,2021*06*18,12:25,181340.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115481,2021*06*18,12:26,181341.0,COUPE,1.0,"0,15 €",False
115482,2021*06*18,12:26,181341.0,SPECIAL BREAD,1.0,"2,40 €",False
115485,2021*06*18,12:27,181342.0,FORMULE SANDWICH,2.0,"6,50 €",False
115488,2021*06*18,12:29,181343.0,BAGUETTE,1.0,"0,90 €",False
115491,2021*06*18,12:30,181344.0,PAIN BANETTE,1.0,"1,40 €",False
115494,2021*06*18,12:31,181345.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115495,2021*06*18,12:31,181345.0,COUPE,1.0,"0,15 €",False
115496,2021*06*18,12:31,181345.0,COMPLET,1.0,"1,50 €",False
115499,2021*06*18,12:34,181346.0,GRAND FAR BRETON,1.0,"7,00 €",False
115502,2021*06*18,12:37,181347.0,SANDWICH COMPLET,1.0,"4,50 €",False
115505,2021*06*18,12:43,181348.0,FINANCIER X5,1.0,"3,00 €",False
115506,2021*06*18,12:43,181348.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115509,2021*06*18,12:45,181349.0,FINANCIER X5,1.0,"3,00 €",False
115510,2021*06*18,12:45,181349.0,FORMULE SANDWICH,1.0,"6,50 €",False
115513,2021*06*18,12:46,181350.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115514,2021*06*18,12:46,181350.0,SAVARIN,1.0,"2,00 €",False
115515,2021*06*18,12:46,181350.0,DIVERS CONFISERIE,1.0,"3,00 €",False
115516,2021*06*18,12:46,181350.0,TARTELETTE FRAISE,1.0,"3,00 €",False
115519,2021*06*18,12:48,181351.0,FORMULE SANDWICH,1.0,"6,50 €",False
115522,2021*06*18,12:49,181352.0,CEREAL BAGUETTE,1.0,"1,25 €",False
115525,2021*06*18,12:50,181353.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
115526,2021*06*18,12:50,181353.0,SANDWICH COMPLET,1.0,"4,50 €",False
115529,2021*06*18,12:53,181354.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115532,2021*06*18,12:55,181355.0,SAND JB EMMENTAL,1.0,"3,50 €",False
115535,2021*06*18,12:56,181356.0,TARTELETTE FRAISE,1.0,"3,00 €",False
115538,2021*06*18,12:58,181357.0,FORMULE SANDWICH,2.0,"6,50 €",False
115541,2021*06*18,12:59,181358.0,BANETTE,4.0,"1,05 €",False
115544,2021*06*18,13:06,181359.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115547,2021*06*18,13:09,181360.0,BAGUETTE,2.0,"0,90 €",False
115550,2021*06*18,13:15,181361.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115553,2021*06*18,13:20,181362.0,SANDWICH COMPLET,1.0,"4,50 €",False
115554,2021*06*18,13:20,181362.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115555,2021*06*18,13:20,181362.0,SAND JB EMMENTAL,1.0,"3,50 €",False
115560,2021*06*18,16:05,181364.0,SAND JB EMMENTAL,1.0,"3,50 €",False
115563,2021*06*18,16:12,181365.0,TARTELETTE,3.0,"2,00 €",False
115564,2021*06*18,16:12,181365.0,CEREAL BAGUETTE,2.0,"1,25 €",False
115565,2021*06*18,16:12,181365.0,COUPE,3.0,"0,15 €",False
115566,2021*06*18,16:12,181365.0,BOULE 400G,3.0,"1,50 €",False
115569,2021*06*18,16:13,181366.0,PAIN,1.0,"1,15 €",False
115572,2021*06*18,16:16,181367.0,CHAUSSON AUX POMMES,1.0,"1,40 €",False
115575,2021*06*18,16:20,181368.0,COOKIE,2.0,"1,00 €",False
115576,2021*06*18,16:20,181368.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115579,2021*06*18,16:33,181369.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115582,2021*06*18,16:34,181370.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115585,2021*06*18,16:50,181371.0,SEIGLE,1.0,"1,80 €",False
115586,2021*06*18,16:50,181371.0,COUPE,1.0,"0,15 €",False
115587,2021*06*18,16:50,181371.0,CAMPAGNE,1.0,"1,80 €",False
115590,2021*06*18,16:55,181372.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115593,2021*06*18,16:56,181373.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115596,2021*06*18,16:59,181374.0,COUPE,1.0,"0,15 €",False
115597,2021*06*18,16:59,181374.0,COOKIE,1.0,"1,00 €",False
115598,2021*06*18,16:59,181374.0,CEREAL BAGUETTE,1.0,"1,25 €",False
115599,2021*06*18,16:59,181374.0,VIK BREAD,1.0,"2,50 €",False
115602,2021*06*18,17:02,181375.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
115605,2021*06*18,17:08,181376.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115608,2021*06*18,17:12,181377.0,FONDANT CHOCOLAT,2.0,"2,50 €",False
115609,2021*06*18,17:12,181377.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
115610,2021*06*18,17:12,181377.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115613,2021*06*18,17:14,181378.0,CEREAL BAGUETTE,1.0,"1,25 €",False
115616,2021*06*18,17:19,181379.0,BOULE 200G,2.0,"1,10 €",False
115619,2021*06*18,17:20,181380.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115622,2021*06*18,17:21,181381.0,CROISSANT,1.0,"1,10 €",False
115623,2021*06*18,17:21,181381.0,KOUIGN AMANN,1.0,"2,10 €",False
115624,2021*06*18,17:21,181381.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
115625,2021*06*18,17:21,181381.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
